geoid,block_group,lat,lon
060750332011000,060750332011,37.728703,-122.4748177
060750309004005,060750309004,37.7293497,-122.4719192
060750309004006,060750309004,37.7293453,-122.4716974
060750309004012,060750309004,37.7279356,-122.4696821
060750309004015,060750309004,37.7280472,-122.4675505
060750309004013,060750309004,37.7279707,-122.4683665
060750309004014,060750309004,37.7286486,-122.4679073
060750309004007,060750309004,37.7292331,-122.4705064
060750309004004,060750309004,37.7294176,-122.4684001
060750309002010,060750309002,37.729484,-122.4671653
060750309004000,060750309004,37.7298055,-122.4689648
060750309004001,060750309004,37.729879,-122.4702065
060750309004002,060750309004,37.730139,-122.4697294
060750309005021,060750309005,37.7305265,-122.4676492
060750309004003,060750309004,37.7306565,-122.4709232
060750309005020,060750309005,37.7308016,-122.468474
060750309005019,060750309005,37.7309865,-122.4693261
060750309005018,060750309005,37.7312568,-122.4705336
060750309005011,060750309005,37.7324273,-122.4673854
060750309005012,060750309005,37.7324549,-122.4682711
060750309005015,060750309005,37.7324921,-122.4691528
060750309005016,060750309005,37.7325231,-122.4700333
060750309005008,060750309005,37.7325498,-122.4709186
060750309006010,060750309006,37.7299562,-122.4720862
060750332011001,060750332011,37.7304,-122.4753396
060750309006013,060750309006,37.7304114,-122.4729398
060750309006011,060750309006,37.7306085,-122.4724256
060750309006012,060750309006,37.730823,-122.4738684
060750309006007,060750309006,37.7315262,-122.4738382
060750309006018,060750309006,37.7317473,-122.4749021
060750331001011,060750331001,37.731863,-122.4754865
060750309006005,060750309006,37.732507,-122.4719649
060750309006006,060750309006,37.7323881,-122.4724722
060750331001012,060750331001,37.7318511,-122.4787377
060750331001008,060750331001,37.7317333,-122.4779018
060750331001009,060750331001,37.7320054,-122.4772845
060750331001010,060750331001,37.7318898,-122.4764358
060750331002002,060750331002,37.7333719,-122.4823802
060750331002001,060750331002,37.7334117,-122.4815029
060750331002014,060750331002,37.7334492,-122.4806203
060750331001006,060750331001,37.7334903,-122.4797376
060750331001005,060750331001,37.7335357,-122.4786074
060750331001003,060750331001,37.7335819,-122.4774616
060750309005007,060750309005,37.7328773,-122.4714432
060750309005010,060750309005,37.7331057,-122.4674223
060750309005013,060750309005,37.7331347,-122.4682673
060750309005014,060750309005,37.7331624,-122.4691116
060750309005017,060750309005,37.733192,-122.4699973
060750309005009,060750309005,37.7332177,-122.4708645
060750309005005,060750309005,37.7339479,-122.4708589
060750309005004,060750309005,37.7339965,-122.4700333
060750309005003,060750309005,37.7340056,-122.4691815
060750309005002,060750309005,37.7340155,-122.4683241
060750309006004,060750309006,37.7328468,-122.4716827
060750309006002,060750309006,37.7330453,-122.4729652
060750309006008,060750309006,37.7334146,-122.4744939
060750309006001,060750309006,37.7337375,-122.4736657
060750331001001,060750331001,37.7335904,-122.4755879
060750309006009,060750309006,37.73354,-122.4750302
060750309006003,060750309006,37.7341809,-122.472773
060750309006000,060750309006,37.7346819,-122.4733086
060750308004010,060750308004,37.7355409,-122.4751651
060750308004011,060750308004,37.7368974,-122.4752515
060750309005001,060750309005,37.7340114,-122.467486
060750309005006,060750309005,37.7347256,-122.4710926
060750308003006,060750308003,37.7352337,-122.4703223
060750308003007,060750308003,37.7358748,-122.4706528
060750308003019,060750308003,37.735766,-122.4710327
060750308003008,060750308003,37.735623,-122.4693068
060750308003005,060750308003,37.7361101,-122.4699524
060750308003009,060750308003,37.7360316,-122.4684931
